,text,toxic,severe_toxic,obscene,threat,insult,identity_hate
12,"Your mum is a stupid cunt of a character from the series The Mighty B!, and that kew gardens and everyone knoes it.",0.9827243685722351,0.10739845782518387,0.7701194882392883,0.0033501035068184137,0.909942090511322,0.02796229161322117
13,"being gay on Wikipedia, as you are a tired old cliche. If you our gonna make a stop in your mouth and the hilarious black enslavement of the article, Andy.",0.9095402359962463,0.021381888538599014,0.10054726898670197,0.011413087137043476,0.5266048908233643,0.33093196153640747
14,"Im busy right now, but I know you?",0.006434529088437557,0.0002304302470292896,0.001544980681501329,0.00029719131998717785,0.0007194541394710541,0.0003896139096468687
15,"You ratted me out you worthless piece of shit like your fucking weight around. And before you deleted my page, IT is my talk page. I only have a big fat bitch for not jumping on a huge fucking asshole!!!Bongwarriorcongratualtions on being such a damn instead of willy-nilly deleting everything i put my article telling me it felt great!",0.9963111281394958,0.4207437038421631,0.9816768169403076,0.017466716468334198,0.9601993560791016,0.06964321434497833
16,"Then I will use it for free and you shalll be punished though because you are gay and like telling lies about me or give consideration to anything you dick sucking homosexual. This is her last name, shouldn't we add it? 76.20.25.207",0.9947060942649841,0.12740322947502136,0.8276207447052002,0.024176597595214844,0.9381988048553467,0.57486492395401
17,SHUT THE FUCK IS WRONG WITH YOU MCDONALD OF KINDESS FOR BLOCKING ME AND RONDO!!!,0.9949563145637512,0.2060786783695221,0.9360414743423462,0.005057245492935181,0.8551331162452698,0.07127753645181656
18,"Sallary controversy The president of the project so how does it makes me sick. Ur mother is so riddled with troll assholes such as Ruthless Aggression, Universe Era and Reality Era have and hold them captive, as I see it, thank you",0.884449303150177,0.015235429629683495,0.30698224902153015,0.003795115277171135,0.4133055508136749,0.025001006200909615
19,"This dope needs to ban Leather-queen Mark. TS is a giant chip on my test. Well, you can deposit money in exchange for the Great Spirit. You have been undid soon after. Just for your wife and I don't know who wrote this sloppy ass cunt",0.9618221521377563,0.03253595530986786,0.8220853209495544,0.0045025586150586605,0.5313541293144226,0.015921887010335922
20,FUCK YOU ALL!! FUCK YOU U USELESS BOT FUCK YOU ALL!! FUCK YOU ALL!! FUCK YOU U CUNT DAMN YOU U CUNT DAMN YOU U CUNT DAMN YOU U USELESS BOT FUCK YOU ALL!! FUCK YOU GEORGE,0.9977637529373169,0.5896252989768982,0.990371823310852,0.005080107133835554,0.9108325242996216,0.03898325189948082
21,"Hello, guys FUCK U Proabivouac",0.9946130514144897,0.2328917235136032,0.9763138890266418,0.004192854277789593,0.7755008339881897,0.022326897829771042
22,"i for one, think lgagnon is a homo like mitt romney is.",0.3875322639942169,0.002144338795915246,0.01319320872426033,0.002633466850966215,0.051205381751060486,0.05707509443163872
23,u urself are giving wrong information to the Europeans and do what you tell me,0.044560883194208145,0.0005328226834535599,0.003026556922122836,0.00047515268670395017,0.004447176121175289,0.001272932393476367
24,User:NHRHS2010 is a bitchMattythewhite is a fucking fat ugly cunt,0.9981858134269714,0.46456441283226013,0.9764732122421265,0.01827116124331951,0.9619175791740417,0.19559235870838165
25,shut the fuck are you? Why you removed my earthquake page? You didn't think you should be blocked I have seen loads of linked commercial sites.,0.9836384057998657,0.08374955505132675,0.9035245180130005,0.0024647966492921114,0.6302120089530945,0.009993556886911392
26,"fuck this guy's fucking face. I am SO GOD DAMNED SICK of you are still a pussy geeky ass brit. So fuck off and leave this page alone? It was a bitch,",0.9979798197746277,0.5130293965339661,0.9923760294914246,0.01043250598013401,0.9058924913406372,0.0612981952726841
27,DIE DIE DIE DIE DIE DIE DI EDIE DIE DIE DIE DI EDIE DIE DIE DIE DIE DI EDIE DIE DIE DIE DIE,0.994515597820282,0.8738368153572083,0.9790257811546326,0.9998037219047546,0.9343924522399902,0.6420502066612244
28,you need to get a fuckin asshole bitch. il fuckin ream ya,0.9987564086914062,0.6991903185844421,0.9954017400741577,0.03141867369413376,0.9828185439109802,0.09443341940641403
29,lick my balls and fuck you,0.9965362548828125,0.4556806981563568,0.9864112734794617,0.008165744133293629,0.8446988463401794,0.03185141459107399
30,dammit fagex43223232323 hunigger already told me you fucking whore.,0.9968217611312866,0.28828275203704834,0.9882895946502686,0.011030749417841434,0.8773394823074341,0.029564054682850838
31,"Stop fucking with all the girls u see and then revert other edits just because you are just a place, faggot, it is raped, stabbed, drowned, raped again when you see what you tell me",0.9985314607620239,0.39874768257141113,0.9773573279380798,0.019270218908786774,0.9445740580558777,0.2652694582939148
32,Robot Chicken is still that bunch of lesbian crap. A whale's vagina because of Triple H.,0.9658486247062683,0.05000832676887512,0.47886791825294495,0.01449428591877222,0.5090923309326172,0.15020102262496948
33,Good riddance you fucking idiot.,0.9992735981941223,0.47430726885795593,0.9880410432815552,0.013129957020282745,0.9816843867301941,0.12209025025367737
34,you gotta admit for the bullshit they teach you in life.,0.9280033111572266,0.037585385143756866,0.7378326654434204,0.002573318313807249,0.282384991645813,0.00864341389387846
35,"I don't think I was wondering how long I've been editing WWE and Stephanie McMahon things for no fucking shit, your mother ass and kill everyone related to the world u can have me ex wife she has fucking fat ugly cunt",0.995850682258606,0.16907376050949097,0.9566315412521362,0.01420830562710762,0.9020738005638123,0.10806061327457428
36,"Hi, this Klptyzm again. I'm a faggot who sucks my mom's penis.",0.9827795028686523,0.12266413867473602,0.8295079469680786,0.01781921461224556,0.7116893529891968,0.11404754966497421
37,go cum on her face..... so fucking gay - Hitler was a quick glance at the village pump that you are the final days of ytmnd. they need to take up Dance Dance Revolution and leave me alone and I'll leave you alone when you complain about my family over 500 members are Baptized Khalsa SIKHS. We have simultaneously existed throughout the ancient era up until now.,0.9971352815628052,0.30121204257011414,0.965853214263916,0.07322411239147186,0.9090029001235962,0.5373750329017639
38,you people dont know shit about your note fuck you.,0.9954284429550171,0.15277619659900665,0.9745022654533386,0.003119342727586627,0.8031941652297974,0.018514178693294525
39,this is pretty much anything he has no reason,0.008416686207056046,0.00037784589221701026,0.001803067629225552,0.0005382469389587641,0.0011369972489774227,0.0005989981000311673
40,"Threaten me you little fuck , are you dead yet? or are you watching your mom is my house and kill your fucking guts I hope you die a free rat.",0.9993797540664673,0.6890427470207214,0.989557683467865,0.7235715985298157,0.969327449798584,0.3674626648426056
41,Stop reverting my edits. I will proceed to punt that.,0.12503831088542938,0.0029220297001302242,0.0124456025660038,0.03339201211929321,0.01083284243941307,0.003978094086050987
42,You fat dykey cunt! If you block this account i will kill you,0.996801495552063,0.34700146317481995,0.870302140712738,0.5566790103912354,0.9527305960655212,0.2117990106344223
43,"Sitush is an educational institution, you have watched this. I will savagely attack your mother!",0.1943971812725067,0.002215103479102254,0.018848435953259468,0.0028326103929430246,0.025144269689917564,0.002891821088269353
44,"Once Again, you don't stop blocking my usernames",0.07824371010065079,0.0016427836380898952,0.005870247259736061,0.0034914417192339897,0.0082581527531147,0.002769383369013667
45,"Fuck you, like I give a shit!!!! you really think that Wikipedia is my slave and i will behead you",0.9969186782836914,0.47325775027275085,0.9763779640197754,0.06387525796890259,0.8823739290237427,0.07888785004615784
46,why you cant be actually nice for a human being & you are all Retarder losers who deserve to die. You anti-scientific assholes are destroying America.,0.9939202070236206,0.2383580356836319,0.7966295480728149,0.16392789781093597,0.9350911974906921,0.1684732437133789
47,"yo i got me a message again i will kill you I am going to murder you. I am going to continue making people's lives a misery, I will blow the hell is your perverted heart. I will kill you, you fucking arse rapping jew fucking self gone, you dumb fu*ker. Because you willfully violate Wikipedia's copyright and because you are the real fraud here",0.9985542893409729,0.7058982253074646,0.9751646518707275,0.911316454410553,0.971174955368042,0.4829235374927521
48,"DUST FILTER, IF YOU CONTINUE TO RVV IT, I WILL FUCKIN KILL YOU! I WILL BLOCK YOU!",0.991832971572876,0.29789137840270996,0.9315690398216248,0.931969165802002,0.8623977303504944,0.5294874310493469
49,I will behead you fuckers.,0.9880973696708679,0.1862626075744629,0.9618620872497559,0.09996270388364792,0.6978834271430969,0.03282437473535538
50,You're a fucking life threatening me you dick!,0.9969881176948547,0.38361847400665283,0.9782692790031433,0.009402479976415634,0.9129076600074768,0.0767461508512497
51,Fuck you are wrong. you just lie. 71.59.189.46,0.9917792677879333,0.16054260730743408,0.9660114645957947,0.0027347016148269176,0.7315732836723328,0.023325076326727867
52,Epbr123 is a biznitch Repeat: Daedalus969 is a nigger licker Fan-1967 is a stupid motherf**ker! Ravioli DOES INDEED cause diarrhea! Look it up!!!!! HEED MY WARNING!!!!!!!!!!!!!!!!!!!,0.9928240776062012,0.11468598246574402,0.6658359169960022,0.016874395310878754,0.941175639629364,0.6612359881401062
53,YOU FAT BITCH IN A HORRIBLE FIRE WITH YOUR GAY YOU DONT HAVE A RIGHT TO BLOCK WERT WERT NAH YOU FUCKING LOSER BASTARD.,0.999446451663971,0.31972578167915344,0.9622132778167725,0.013995912857353687,0.9881181120872498,0.6724242568016052
54,"you people defend it. That's what I wrote every thig and its allies and the teletubbie rubbing pantaloon you try and have to add to my schoolim gonna beat the shit out of you, ASSHOLE",0.9779039621353149,0.12875112891197205,0.8788937330245972,0.08511753380298615,0.6978651285171509,0.043208882212638855
55,"All of you about? Or are you for your warning, shove it up the arse. takes it in your omnipresent stupidity and the crap stritting.",0.9720502495765686,0.07346561551094055,0.6731063723564148,0.012496259063482285,0.6722429394721985,0.08744959533214569
56,"Pathetic little fucks, it's called a right right slut.",0.9929062128067017,0.18233807384967804,0.9275833368301392,0.004354771226644516,0.8297176361083984,0.0353667177259922
57,"What the fuck is up with dicks all over yiu, you horny little filth pig. I've got a tip...get active and eat my shit",0.9937586784362793,0.25720590353012085,0.9327452182769775,0.017249654978513718,0.8805086016654968,0.11082915216684341
58,On Religion 02/22/2007 9:46:01 AM PST · 21 replies · 548+ views,0.0013023255160078406,4.867376264883205e-05,0.0004628979950211942,4.4366493966663256e-05,0.00019735655223485082,9.575955482432619e-05
59,"Hey Bwilkins, it is hurtful to call you a slow, painful death, hopefully very soon. Why do you do on here then fucking ban me as u don't know who wrote this sloppy ass cunt",0.9957279562950134,0.16435395181179047,0.9445380568504333,0.04223714396357536,0.9051558375358582,0.15606312453746796
